fileName,mode,time,pps,score,lines,pieces,finished,goal,timeStamp
2018_12_31_10_38_20.rep,DIG RACE,1866,1.0294906,0,20,33,None,None,2018-12-31T10-38-20
2018_12_31_10_40_46.rep,DIG RACE,2127,1.3546566,0,27,49,None,None,2018-12-31T10-40-46
2018_12_31_10_44_24.rep,DIG RACE,2488,1.013269,0,25,43,None,None,2018-12-31T10-44-24
2018_12_31_10_45_13.rep,DIG RACE,2264,1.1665931,0,26,45,None,None,2018-12-31T10-45-13
2018_12_31_10_50_34.rep,DIG RACE,2168,1.1075219,0,23,41,None,None,2018-12-31T10-50-34
2018_12_31_10_51_19.rep,DIG RACE,2011,1.1343284,0,23,39,None,None,2018-12-31T10-51-19
2018_12_31_10_52_18.rep,DIG RACE,2878,1.1470282,0,30,56,None,None,2018-12-31T10-52-18
2018_12_31_10_53_59.rep,DIG RACE,1816,1.0909091,0,21,34,None,None,2018-12-31T10-53-59
2018_12_31_10_56_42.rep,DIG RACE,2790,1.0971675,0,28,52,None,None,2018-12-31T10-56-42
2018_12_31_11_03_02.rep,DIG RACE,1451,1.2827586,0,21,32,None,None,2018-12-31T11-03-02
2018_12_31_11_04_22.rep,DIG RACE,2266,1.0860927,0,25,42,None,None,2018-12-31T11-04-22
2018_12_31_11_06_17.rep,DIG RACE,761,1.5,0,11,20,None,None,2018-12-31T11-06-17
2018_12_31_11_06_41.rep,DIG RACE,932,1.2244898,0,11,20,None,None,2018-12-31T11-06-41
2018_12_31_11_07_03.rep,DIG RACE,359,1.0055866,0,6,7,None,None,2018-12-31T11-07-03
2018_12_31_11_07_24.rep,DIG RACE,471,1.0212766,0,6,9,None,None,2018-12-31T11-07-24
2018_12_31_11_07_40.rep,DIG RACE,506,1.069307,0,7,10,None,None,2018-12-31T11-07-40
2018_12_31_11_08_13.rep,DIG RACE,379,0.95238096,0,5,7,None,None,2018-12-31T11-08-13
2018_12_31_11_09_05.rep,DIG RACE,537,1.119403,0,6,11,None,None,2018-12-31T11-09-05
2018_12_31_11_09_27.rep,DIG RACE,445,1.081081,0,7,9,None,None,2018-12-31T11-09-27
2018_12_31_11_10_05.rep,DIG RACE,500,1.2024049,0,8,11,None,None,2018-12-31T11-10-05
2018_12_31_11_11_58.rep,DIG RACE,1117,1.2365592,0,13,24,None,None,2018-12-31T11-11-58
2018_12_31_11_12_36.rep,DIG RACE,892,1.010101,0,10,16,None,None,2018-12-31T11-12-36
2018_12_31_11_22_13.rep,MARATHON,26045,0.8984795,385500,150,391,False,150,2018-12-31T11-22-13
2018_12_31_11_31_14.rep,MARATHON,27136,0.8490879,383341,150,385,False,150,2018-12-31T11-31-14
2018_12_31_11_41_02.rep,MARATHON,26634,0.87860924,344344,150,391,False,150,2018-12-31T11-41-02
2018_12_31_12_00_06.rep,MARATHON,22221,0.8478466,294778,109,314,False,150,2018-12-31T12-00-06
2018_12_31_12_08_32.rep,MARATHON,24680,0.91656876,411768,150,378,False,150,2018-12-31T12-08-32
